subject,n_neurons,n_sessions,n_shuffles,a_angle,a_angle_null,a_angle_p,a_angle_z,a_logmag,a_logmag_null,a_logmag_p,a_logmag_z,b_angle,b_angle_null,b_angle_p,b_angle_z,b_logmag,b_logmag_null,b_logmag_p,b_logmag_z
ZFM-02600,622,8,500,0.029266164974274728,0.49574820861215885,0.024,-1.749441353893116,-0.4926022693526898,-0.9929277638682058,0.574,0.548376826872767,0.008584570985423395,0.5046512271964204,0.0,-1.8615330251637543,-0.13702080283167065,-0.03314685488489379,0.906,-0.10737911215057626
ZFM-02601,102,1,500,0.19415118418809568,0.5926889606734541,0.076,-1.7045912446682958,-1.823917755805584,-0.09974346335093151,0.028,-2.2418696202711863,0.6503603584405163,0.5904377300429056,0.81,0.26191284112781266,0.4946262326368902,0.06705202827656434,0.572,0.5353552048327169
ZFM-03330,90,2,500,0.7804587086500232,0.49778573279221805,0.24,1.2876297796469411,1.3069610480845533,0.5494417098970298,0.376,0.8924920814739079,0.7711524660026867,0.49090224859722864,0.238,1.3029300530529846,-1.6437024844732488,-0.6926857368646623,0.282,-1.0877103430772448
ZFM-04080,116,3,500,0.17155333191194952,0.47804068048733706,0.214,-1.3859020426294342,0.6385398133722295,0.8879275359793819,0.78,-0.28858265201891853,0.5364732505209764,0.46822076377058025,0.78,0.32067954981535585,-0.06832204339591312,0.18230190893197942,0.816,-0.24386302110114463
ZFM-04083,257,5,500,0.07137684461593752,0.5109660296867777,0.03,-1.9339588161004917,1.618558716951528,1.3785057032190478,0.768,0.28715046909046843,0.01853891530329002,0.4999413181345553,0.008,-2.0024177785408592,-0.33190951652443407,-0.6869309449615323,0.64,0.4039051357290478
ZFM-04122,74,2,500,0.3321121439572401,0.48309023375999194,0.694,-0.5748623231821359,-0.9724245216878715,0.17450349662353218,0.224,-1.1925789111909564,0.5652610830445155,0.5189359387190321,0.884,0.17665392082450204,0.9108979457130107,0.058319640282445635,0.34,0.9454178539801739
ZFM-04811,565,7,500,0.34484191850629603,0.5111807301073985,0.638,-0.6406823202699264,-0.28646826351501764,-0.38665654625485535,0.91,0.09771469631648892,0.008185063171537,0.5068541123974861,0.0,-1.921535172544601,-0.013725384036346787,0.11002843653518199,0.912,-0.12907038707214713
ZFM-05170,273,5,500,0.9597974398931387,0.3632743381441785,0.0,2.2206703507266012,-0.06992602992944946,-0.4486786482508464,0.746,0.32769852346089645,0.8328292730541995,0.3515669661531324,0.064,1.7939834730279887,0.008979303736190214,0.3187878418089659,0.772,-0.2713582215955335
