group,n_neurons,n_sessions,n_shuffles,a_angle,a_angle_null,a_angle_p,a_angle_z,a_logmag,a_logmag_null,a_logmag_p,a_logmag_z,b_angle,b_angle_null,b_angle_p,b_angle_z,b_logmag,b_logmag_null,b_logmag_p,b_logmag_z
SERT-cre,2099,33,500,0.0507512348811926,0.2554237203190108,0.392,-0.8440938667105679,0.8928560905420622,0.17951159989650814,0.638,0.5014902325447911,0.02647314683013094,0.2868750759180689,0.286,-1.008569592635889,-0.1866650584236574,-0.20250661647116924,0.992,0.011476189749070208
wild-type,184,5,500,0.7764647889797142,0.4622687620453233,0.212,1.328713315278047,0.1751056548180987,-0.6895611156217732,0.318,0.9312945135877673,0.1448364973253749,0.48590498498534807,0.184,-1.3786334302598773,-0.41037905181713197,-0.21999730881347684,0.842,-0.2071285588863902
