n_dim,n_neurons,n_sessions,n_shuffles,dot,null_mean,null_p97_5,p_perm,significant,z,add_angle,add_null_mean,add_p_perm,add_log2_mag_ratio
3,2099,33,200,0.9051542289116272,0.2209428463552414,0.8156607552999761,0.005,True,2.927099969421907,0.050751230163312344,0.26279840205482363,0.775,0.8928559668198528
5,2099,33,200,0.8956633375937744,0.8077489368661582,0.9739978664287483,0.325,False,0.6951855832902911,0.7223061505022231,0.8371866850984172,0.835,0.111080646727492
10,2099,33,200,0.9225203932942484,0.828591722245273,0.9721294939592062,0.25,False,0.839566114109868,0.8958375030054949,0.8886325092380369,0.585,0.13321650633889243
20,2099,33,200,0.9269469382699931,0.9058238679504579,0.9881930739070267,0.44,False,0.36844804360038586,0.8716972886499592,0.9373263713811012,0.925,0.09233955785861112
