group,n_neurons,n_sessions,n_shuffles,dot,null_mean,null_p97_5,p_perm,significant,z,add_angle,add_null_mean,add_p_perm,add_log2_mag_ratio
SERT-cre (published),2099,33,500,0.9051542240038665,0.23740214705627158,0.8187007412679954,0.002,True,2.8164802878473525,0.05075123475857832,0.25542301823101676,0.802,0.8928561982659347
wild-type (CONTROL),184,5,500,0.8698125467994167,0.48152158278050466,0.9109534207459236,0.046,False,1.652704464078751,0.7764647889797142,0.4622687620453233,0.106,0.1751056548180987
