measure,condition,time,value,baseline_subtracted,eid,expression,n_events,subject
sniffing,stim,-0.45,317.42694918635084,-32.24387718128605,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,-0.35000000000000003,304.11584678311283,-45.55497958452406,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,-0.25000000000000006,329.5010122791183,-20.169814088518592,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,-0.15000000000000008,364.4583554286803,14.787529061043415,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,-0.050000000000000086,432.85196816092224,83.18114179328535,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,0.04999999999999989,537.1409659142427,187.47013954660576,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,0.14999999999999986,587.0587045923028,237.38787822466588,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,0.24999999999999983,570.4244427363961,220.75361636875925,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,0.3499999999999998,513.3983796310998,163.72755326346294,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,0.4499999999999998,512.1474625032532,162.47663613561633,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,0.5499999999999998,536.7328785969172,187.0620522292803,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,0.6499999999999998,550.2292690418371,200.55844267420025,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,0.7499999999999998,561.6356540704147,211.96482770277782,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,0.8499999999999998,564.5951310496731,214.92430468203622,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,0.9499999999999997,567.4773826981839,217.80655633054698,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,1.0499999999999996,592.8837752280374,243.2129488604005,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,1.1499999999999997,618.480914825874,268.81008845823715,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,1.2499999999999998,635.8834309964403,286.21260462880343,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,1.3499999999999996,655.8761705402145,306.2053441725776,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,1.4499999999999995,670.1652528707691,320.4944265031322,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,1.5499999999999996,710.8783890066665,361.20756263902956,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,1.6499999999999997,746.9722101044051,397.30138373676823,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,1.7499999999999996,761.3148258435211,411.64399947588424,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,1.8499999999999994,748.8179763805215,399.1471500128846,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,1.9499999999999995,710.8567662378372,361.1859398702003,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,2.0499999999999994,691.9595242191671,342.2886978515302,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,2.1499999999999995,688.9484214793783,339.27759511174145,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,2.249999999999999,671.1323841742478,321.4615578066109,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,2.349999999999999,639.849088044813,290.1782616771761,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,2.4499999999999993,602.1660742514125,252.49524788377562,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,2.549999999999999,573.3105142926344,223.63968792499747,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,2.649999999999999,566.8781482150755,217.2073218474386,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,2.749999999999999,555.9209356096344,206.2501092419975,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
sniffing,stim,2.849999999999999,545.5356776439847,195.86485127634785,dfa58635-10b6-48d2-b77b-c4022ad0899a,1,344,ZFM-05170
