subject,n_matched,cv_acc_no_stim,cv_acc_stim,delta,less_predictable_under_stim
ZFM-02600,4240,0.7464679172619577,0.730330852617249,-0.016137064644708765,True
ZFM-04080,8073,0.7873274863588638,0.7829101344854036,-0.004417351873460262,True
ZFM-04083,3980,0.8306449313245569,0.7973874073388588,-0.033257523985698034,True
ZFM-04122,7799,0.7081695862195241,0.684912878421319,-0.0232567077982051,True
ZFM-04811,3581,0.7003024578864239,0.6789715028591934,-0.02133095502723048,True
ZFM-05170,1578,0.7298338702500792,0.7183913945339799,-0.011442475716099243,True
