coef_choice,coef_stim,coef_interaction,p_choice,p_stim,p_interaction,eid,pid,probe,subject,date,neuron_id,acronym
0.061456983001323566,0.000802646146364612,-0.28654469826881557,0.023671498866651732,0.9838756980257394,5.391855431628002e-13,dfa58635-10b6-48d2-b77b-c4022ad0899a,227781ff-b3d4-4380-bfed-00942195ca62,probe00,ZFM-05170,2022-12-08,5,MB
0.08646161477209802,-0.1254153747701931,-0.12998010392230774,0.2332015287739777,0.24526990369138613,0.2285102312539149,dfa58635-10b6-48d2-b77b-c4022ad0899a,227781ff-b3d4-4380-bfed-00942195ca62,probe00,ZFM-05170,2022-12-08,50,MB
0.04646587415858568,-0.06769392293033556,-0.2603747850657105,0.051166594273988834,0.056036249810128176,1.9904689998724577e-13,dfa58635-10b6-48d2-b77b-c4022ad0899a,227781ff-b3d4-4380-bfed-00942195ca62,probe00,ZFM-05170,2022-12-08,120,PAG
-0.07139086976062432,-0.0017798900417822505,0.11036011405720911,7.269765010284715e-06,0.9374386764589525,1.1350284599686035e-06,dfa58635-10b6-48d2-b77b-c4022ad0899a,227781ff-b3d4-4380-bfed-00942195ca62,probe00,ZFM-05170,2022-12-08,126,PAG
0.24055496506744417,-0.9906305505396477,0.024100254152602446,0.0449385735413481,2.1846532512596214e-05,0.9177436139036691,dfa58635-10b6-48d2-b77b-c4022ad0899a,227781ff-b3d4-4380-bfed-00942195ca62,probe00,ZFM-05170,2022-12-08,138,PAG
0.004895829212730532,0.0315616987196837,-0.1114949938359684,0.7771391516080259,0.2023305205193433,6.6730751156243846e-06,dfa58635-10b6-48d2-b77b-c4022ad0899a,227781ff-b3d4-4380-bfed-00942195ca62,probe00,ZFM-05170,2022-12-08,143,PAG
-0.04063797139312524,0.05381067722226872,0.21552988319198388,0.005491219576280621,0.008721356078412672,8.179390445898858e-26,dfa58635-10b6-48d2-b77b-c4022ad0899a,227781ff-b3d4-4380-bfed-00942195ca62,probe00,ZFM-05170,2022-12-08,146,PAG
-0.23959884363397624,0.6289143099949063,0.0649788609017592,0.37429535671475966,0.06136366199997506,0.8467270110771519,dfa58635-10b6-48d2-b77b-c4022ad0899a,227781ff-b3d4-4380-bfed-00942195ca62,probe00,ZFM-05170,2022-12-08,166,PAG
-0.04665133767786838,0.18326756341197523,0.09423142884439036,0.2733317878063264,0.0015996120118706026,0.10464889072905985,dfa58635-10b6-48d2-b77b-c4022ad0899a,227781ff-b3d4-4380-bfed-00942195ca62,probe00,ZFM-05170,2022-12-08,224,PAG
-0.02212284804056515,0.132301081550806,-0.001193273350799745,0.6699063264365375,0.06593653397674448,0.9867674313784953,dfa58635-10b6-48d2-b77b-c4022ad0899a,227781ff-b3d4-4380-bfed-00942195ca62,probe00,ZFM-05170,2022-12-08,231,PAG
0.019629731240683075,-0.04787038952843881,-0.09507252612707046,0.159140337777265,0.018548014189598915,2.923574091235081e-06,dfa58635-10b6-48d2-b77b-c4022ad0899a,227781ff-b3d4-4380-bfed-00942195ca62,probe00,ZFM-05170,2022-12-08,258,PAG
-0.06848129880441581,0.014371886093893768,0.04103826408879632,0.00017201623011762386,0.5798979619400757,0.11397172364801524,dfa58635-10b6-48d2-b77b-c4022ad0899a,227781ff-b3d4-4380-bfed-00942195ca62,probe00,ZFM-05170,2022-12-08,259,PAG
-0.3357847899577011,0.27742985055912484,-0.06596282890674962,0.08576936810820174,0.2955291590943965,0.8035792717593313,dfa58635-10b6-48d2-b77b-c4022ad0899a,227781ff-b3d4-4380-bfed-00942195ca62,probe00,ZFM-05170,2022-12-08,293,PAG
